filename,dry_level,sun_level,target_state
123.png,dry_low,sun_ok,healthy_perfect
124.png,dry_low,sun_ok,healthy_perfect
125.png,dry_low,sun_ok,healthy_perfect
126.png,dry_low,sun_ok,healthy_perfect
127.png,dry_low,sun_ok,healthy_perfect
128.png,dry_low,sun_ok,healthy_perfect
129.png,dry_low,sun_low,unhealthy_mid
130.jpg,dry_low,sun_ok,healthy_perfect
131.png,dry_low,sun_ok,healthy_perfect
132.png,dry_low,sun_ok,healthy_perfect
133.png,dry_low,sun_ok,healthy_perfect
134.jpeg,dry_low,sun_ok,healthy_perfect
135.png,dry_low,sun_ok,healthy_perfect
136.png,dry_low,sun_ok,healthy_perfect
137.png,dry_low,sun_ok,healthy_perfect
138.png,dry_low,sun_ok,healthy_perfect
139.jpg,dry_low,sun_ok,healthy_perfect
140.png,dry_low,sun_ok,healthy_perfect
141.jpg,dry_low,sun_ok,healthy_perfect
142.jpg,dry_low,sun_ok,healthy_perfect
143.jpg,dry_low,sun_ok,healthy_perfect
144.jpg,dry_low,sun_ok,healthy_perfect
145.jpg,dry_low,sun_ok,healthy_perfect
146.jpg,dry_low,sun_ok,healthy_perfect
147.jpg,dry_low,sun_ok,healthy_perfect
148.jpg,dry_low,sun_ok,healthy_perfect
149.jpg,dry_low,sun_ok,healthy_perfect
150.jpg,dry_low,sun_ok,healthy_perfect
151.jpg,dry_low,sun_ok,healthy_perfect
152.jpg,dry_low,sun_ok,healthy_perfect
153.jpg,dry_low,sun_ok,healthy_perfect
154.jpg,dry_low,sun_ok,healthy_perfect
155.jpg,dry_low,sun_ok,healthy_perfect
156.jpg,dry_low,sun_ok,healthy_perfect
157.png,dry_low,sun_ok,healthy_perfect
158.png,dry_low,sun_ok,healthy_perfect
159.png,dry_low,sun_ok,healthy_perfect
160.png,dry_low,sun_ok,healthy_perfect
161.jpg,dry_low,sun_ok,healthy_perfect
162.jpg,dry_low,sun_ok,healthy_perfect
163.png,dry_low,sun_ok,healthy_perfect
164.png,dry_low,sun_ok,healthy_perfect
165.png,dry_low,sun_ok,healthy_perfect
166.png,dry_low,sun_ok,healthy_perfect
167.png,dry_low,sun_ok,healthy_perfect
168.png,dry_low,sun_ok,healthy_perfect
169.png,dry_low,sun_ok,healthy_perfect
170.png,dry_low,sun_ok,healthy_perfect
171.png,dry_low,sun_low,unhealthy_mid
172.jpg,dry_low,sun_ok,healthy_perfect
173.png,dry_low,sun_ok,healthy_perfect
174.png,dry_low,sun_ok,healthy_perfect
175.jpeg,dry_low,sun_ok,healthy_perfect
176.png,dry_low,sun_ok,healthy_perfect
177.png,dry_low,sun_ok,healthy_perfect
178.png,dry_low,sun_ok,healthy_perfect
179.png,dry_low,sun_ok,healthy_perfect
180.png,dry_low,sun_ok,healthy_perfect
181.jpg,dry_low,sun_ok,healthy_perfect
182.png,dry_low,sun_ok,healthy_mid
183.jpg,dry_mid,sun_ok,unhealthy_low
184.jpg,dry_low,sun_ok,healthy_mid
185.jpg,dry_low,sun_ok,healthy_mid
186.jpg,dry_mid,sun_ok,unhealthy_low
187.png,dry_high,sun_low,unhealthy_perfect
188.png,dry_high,sun_low,unhealthy_perfect
189.png,dry_low,sun_low,healthy_low
190.png,dry_high,sun_low,unhealthy_perfect
191.png,dry_mid,sun_low,unhealthy_mid
193.png,dry_mid,sun_low,unhealthy_low
194.png,dry_high,sun_low,unhealthy_perfect
195.png,dry_low,sun_low,unhealthy_mid
197.png,dry_low,sun_low,healthy_low
198.png,dry_mid,sun_ok,unhealthy_low
199.png,dry_mid,sun_low,unhealthy_low
201.png,dry_high,sun_low,unhealthy_perfect
202.png,dry_low,sun_low,unhealthy_low
203.png,dry_mid,sun_low,unhealthy_low
204.png,dry_mid,sun_low,unhealthy_mid
206.png,dry_mid,sun_ok,unhealthy_low
207.png,dry_low,sun_ok,healthy_perfect
208.png,dry_low,sun_ok,healthy_perfect
209.png,dry_mid,sun_ok,unhealthy_low
210.png,dry_low,sun_ok,healthy_perfect
211.png,dry_low,sun_low,healthy_low
212.png,dry_low,sun_low,healthy_mid
213.png,dry_low,sun_ok,healthy_mid
214.png,dry_mid,sun_low,unhealthy_low
215.png,dry_low,sun_low,healthy_mid
216.png,dry_low,sun_ok,healthy_perfect
217.png,dry_low,sun_ok,healthy_perfect
218.jpg,dry_low,sun_ok,healthy_mid
219.jpg,dry_low,sun_ok,healthy_mid
220.jpg,dry_low,sun_ok,healthy_mid
221.jpg,dry_low,sun_ok,healthy_mid
222.jpg,dry_low,sun_ok,healthy_mid
223.jpg,dry_low,sun_ok,healthy_perfect
224.jpg,dry_low,sun_ok,healthy_perfect
225.jpg,dry_low,sun_ok,healthy_perfect
226.png,dry_low,sun_low,healthy_low
227.png,dry_mid,sun_ok,unhealthy_low
228.png,dry_mid,sun_ok,unhealthy_low
229.png,dry_mid,sun_ok,unhealthy_low
230.png,dry_low,sun_ok,healthy_perfect
231.png,dry_mid,sun_ok,unhealthy_low
232.png,dry_mid,sun_ok,unhealthy_low
233.png,dry_mid,sun_ok,unhealthy_low
234.png,dry_low,sun_ok,healthy_mid
235.png,dry_mid,sun_ok,unhealthy_low
236.png,dry_high,sun_high,unhealthy_mid
237.png,dry_low,sun_low,unhealthy_mid
238.png,dry_low,sun_ok,healthy_mid
239.png,dry_low,sun_low,healthy_mid
240.png,dry_low,sun_ok,healthy_perfect
241.png,dry_low,sun_low,healthy_perfect
242.png,dry_low,sun_low,healthy_low
243.png,dry_mid,sun_ok,unhealthy_low
244.jpg,dry_mid,sun_low,unhealthy_mid
245.png,dry_high,sun_high,unhealthy_perfect
246.jpg,dry_high,sun_high,unhealthy_perfect
247.png,dry_mid,sun_ok,unhealthy_low
248.jpg,dry_high,sun_high,unhealthy_perfect
249.jpg,dry_high,sun_high,unhealthy_perfect
250.jpg,dry_mid,sun_high,unhealthy_low
251.png,dry_mid,sun_ok,unhealthy_low
252.png,dry_high,sun_high,unhealthy_mid
253.png,dry_mid,sun_ok,unhealthy_low
254.png,dry_high,sun_high,unhealthy_mid
255.png,dry_mid,sun_ok,unhealthy_mid
257.png,dry_high,sun_high,unhealthy_perfect
258.png,dry_mid,sun_low,unhealthy_low
259.png,dry_mid,sun_ok,unhealthy_low
260.png,dry_low,sun_low,healthy_mid
261.png,dry_low,sun_high,healthy_low
262.png,dry_low,sun_high,unhealthy_mid
263.png,dry_high,sun_high,unhealthy_perfect
264.png,dry_high,sun_high,unhealthy_perfect
266.png,dry_mid,sun_high,unhealthy_mid
267.png,dry_mid,sun_ok,unhealthy_low
268.png,dry_mid,sun_ok,unhealthy_low
269.png,dry_mid,sun_ok,unhealthy_low
270.png,dry_mid,sun_high,unhealthy_mid
271.png,dry_high,sun_high,unhealthy_perfect
272.png,dry_mid,sun_ok,unhealthy_low
273.png,dry_mid,sun_low,unhealthy_low
274.png,dry_mid,sun_low,unhealthy_low
275.png,dry_mid,sun_ok,unhealthy_low
276.png,dry_high,sun_high,unhealthy_perfect
277.png,dry_mid,sun_ok,unhealthy_low
278.png,dry_high,sun_high,unhealthy_mid
279.png,dry_mid,sun_ok,unhealthy_low
280.png,dry_high,sun_high,unhealthy_mid
281.png,dry_mid,sun_ok,unhealthy_mid
283.png,dry_high,sun_high,unhealthy_perfect
284.png,dry_mid,sun_low,unhealthy_low
285.png,dry_mid,sun_ok,unhealthy_low
286.png,dry_low,sun_low,healthy_mid
287.png,dry_low,sun_high,unhealthy_mid
288.png,dry_low,sun_high,unhealthy_mid
289.png,dry_high,sun_high,unhealthy_perfect
290.png,dry_mid,sun_high,unhealthy_mid
291.png,dry_mid,sun_ok,unhealthy_low
292.png,dry_mid,sun_ok,unhealthy_low
293.png,dry_mid,sun_ok,unhealthy_low
294.png,dry_mid,sun_high,unhealthy_mid
295.png,dry_high,sun_high,unhealthy_perfect
296.png,dry_mid,sun_ok,unhealthy_low
297.png,dry_mid,sun_low,unhealthy_low
298.png,dry_mid,sun_low,unhealthy_low
299.png,dry_mid,sun_ok,unhealthy_low
300.png,dry_high,sun_high,unhealthy_perfect
301.png,dry_mid,sun_ok,unhealthy_low
302.png,dry_low,sun_low,healthy_low
303.png,dry_low,sun_low,healthy_mid
304.png,dry_low,sun_low,healthy_low
305.jpg,dry_low,sun_ok,healthy_perfect
306.jpg,dry_low,sun_ok,healthy_perfect
307.jpg,dry_low,sun_ok,healthy_perfect
308.jpg,dry_low,sun_ok,healthy_perfect
309.jpg,dry_low,sun_ok,healthy_perfect
310.jpg,dry_low,sun_ok,healthy_perfect
311.jpg,dry_low,sun_ok,healthy_perfect
312.jpg,dry_low,sun_ok,healthy_perfect
313.jpg,dry_low,sun_ok,healthy_perfect
314.jpg,dry_low,sun_ok,healthy_perfect
315.jpg,dry_low,sun_ok,healthy_perfect
316.jpg,dry_low,sun_ok,healthy_perfect
317.jpg,dry_low,sun_ok,healthy_perfect
318.jpg,dry_low,sun_ok,healthy_perfect
319.jpg,dry_low,sun_ok,healthy_perfect
320.jpg,dry_low,sun_ok,healthy_perfect
321.png,dry_low,sun_ok,healthy_perfect
322.png,dry_low,sun_ok,healthy_perfect
323.png,dry_low,sun_ok,healthy_perfect
324.jpg,dry_low,sun_ok,healthy_perfect
325.png,dry_low,sun_ok,healthy_perfect
326.png,dry_low,sun_ok,healthy_perfect
327.png,dry_low,sun_ok,healthy_perfect
328.png,dry_low,sun_ok,healthy_perfect
329.png,dry_low,sun_ok,healthy_perfect
330.png,dry_low,sun_ok,healthy_mid
331.png,dry_low,sun_ok,healthy_perfect
332.png,dry_low,sun_ok,healthy_perfect
333.png,dry_low,sun_ok,healthy_perfect
334.png,dry_low,sun_low,healthy_mid
335.jpg,dry_low,sun_ok,healthy_perfect
336.png,dry_low,sun_ok,healthy_perfect
337.png,dry_low,sun_ok,healthy_perfect
338.png,dry_low,sun_ok,healthy_perfect
339.jpeg,dry_low,sun_ok,healthy_perfect
340.png,dry_low,sun_ok,healthy_mid
341.png,dry_low,sun_ok,healthy_perfect
342.png,dry_low,sun_ok,healthy_perfect
343.png,dry_low,sun_ok,healthy_perfect
344.jpg,dry_low,sun_ok,healthy_perfect
345.png,dry_low,sun_ok,healthy_mid
346.jpg,dry_low,sun_ok,healthy_perfect
347.jpg,dry_low,sun_ok,healthy_perfect
348.jpg,dry_low,sun_ok,healthy_perfect
349.jpg,dry_low,sun_ok,healthy_perfect
350.jpg,dry_low,sun_ok,healthy_perfect
351.jpg,dry_low,sun_ok,healthy_perfect
352.jpg,dry_low,sun_ok,healthy_perfect
353.jpg,dry_low,sun_ok,healthy_perfect
354.jpg,dry_low,sun_ok,healthy_perfect
355.jpg,dry_low,sun_ok,healthy_perfect
356.jpg,dry_low,sun_ok,healthy_perfect
357.jpg,dry_low,sun_ok,healthy_perfect
358.jpg,dry_low,sun_ok,healthy_perfect
359.jpg,dry_low,sun_ok,healthy_perfect
360.jpg,dry_low,sun_ok,healthy_perfect
361.jpg,dry_low,sun_low,healthy_perfect
362.png,dry_low,sun_ok,healthy_perfect
363.png,dry_low,sun_ok,healthy_perfect
364.png,dry_low,sun_ok,healthy_mid
365.png,dry_low,sun_ok,healthy_perfect
366.jpg,dry_low,sun_ok,healthy_perfect
367.jpg,dry_low,sun_ok,healthy_perfect
368.png,dry_low,sun_ok,healthy_perfect
369.png,dry_low,sun_ok,healthy_perfect
370.png,dry_low,sun_ok,healthy_perfect
371.png,dry_low,sun_ok,healthy_perfect
372.png,dry_low,sun_ok,healthy_perfect
373.png,dry_low,sun_ok,healthy_perfect
374.png,dry_low,sun_ok,healthy_mid
375.png,dry_low,sun_ok,healthy_perfect
376.png,dry_low,sun_low,healthy_low
377.jpg,dry_low,sun_ok,healthy_perfect
378.png,dry_low,sun_ok,healthy_perfect
379.png,dry_low,sun_ok,healthy_perfect
380.jpeg,dry_low,sun_ok,healthy_perfect
381.png,dry_low,sun_ok,healthy_perfect
382.png,dry_low,sun_ok,healthy_perfect
383.png,dry_low,sun_ok,healthy_perfect
384.png,dry_low,sun_ok,healthy_perfect
385.png,dry_low,sun_ok,healthy_perfect
386.jpg,dry_low,sun_ok,healthy_perfect
387.png,dry_low,sun_ok,healthy_low
388.jpg,dry_mid,sun_ok,unhealthy_low
389.jpg,dry_low,sun_ok,healthy_mid
390.jpg,dry_low,sun_ok,healthy_mid
391.jpg,dry_mid,sun_ok,unhealthy_low
393.png,dry_high,sun_high,unhealthy_perfect
394.png,dry_low,sun_low,healthy_low
396.png,dry_low,sun_low,unhealthy_mid
398.png,dry_mid,sun_low,unhealthy_low
399.png,dry_high,sun_low,unhealthy_perfect
402.png,dry_low,sun_low,healthy_low
403.png,dry_mid,sun_ok,unhealthy_low
404.png,dry_mid,sun_low,unhealthy_low
407.png,dry_low,sun_low,unhealthy_mid
408.png,dry_mid,sun_low,unhealthy_low
409.png,dry_low,sun_low,unhealthy_perfect
410.png,dry_low,sun_low,unhealthy_perfect
411.png,dry_mid,sun_ok,unhealthy_low
412.png,dry_low,sun_low,healthy_low
413.png,dry_mid,sun_ok,unhealthy_low
414.png,dry_low,sun_low,healthy_low
